"grade","dimension","dim","code","statement","link","orig_dimension","orig_dim","code2"
"04","Number Systems, Operations & Abstract Representation","NSO&AR","4.NF.B.3d","Solve word problems involving addition and subtraction of fractions referring to the same whole and having like denominators, e.g., by using visual fraction models and equations to represent the problem.","http://corestandards.org/Math/Content/4/NF/B/3/d/","Number & Operations_Fractions","NF","NF.B.3d"
"04","Number Systems, Operations & Abstract Representation","NSO&AR","4.NF.B.4","Apply and extend previous understandings of multiplication to multiply a fraction by a whole number.","http://corestandards.org/Math/Content/4/NF/B/4/","Number & Operations_Fractions","NF","NF.B.4"
"04","Number Systems, Operations & Abstract Representation","NSO&AR","4.NF.B.4a","Understand a fraction <i>a</i>/<i>b</i> as a multiple of 1/<i>b</i>. <i>For example, use a visual fraction model to represent 5/4 as the product 5 &times; (1/4), recording the conclusion by the equation 5/4 = 5 &times; (1/4)</i>.","http://corestandards.org/Math/Content/4/NF/B/4/a/","Number & Operations_Fractions","NF","NF.B.4a"
"04","Number Systems, Operations & Abstract Representation","NSO&AR","4.NF.B.4b","Understand a multiple of a/b as a multiple of 1/b, and use this understanding to multiply a fraction by a whole number. <i>For example, use a visual fraction model to express 3 &times; (2/5) as 6 &times; (1/5), recognizing this product as 6/5. (In general, n &times; (a/b) = (n &times; a)/b.)</i>","http://corestandards.org/Math/Content/4/NF/B/4/b/","Number & Operations_Fractions","NF","NF.B.4b"
"04","Number Systems, Operations & Abstract Representation","NSO&AR","4.NF.B.4c","Solve word problems involving multiplication of a fraction by a whole number, e.g., by using visual fraction models and equations to represent the problem. <i>For example, if each person at a party will eat 3/8 of a pound of roast beef, and there will be 5 people at the party, how many pounds of roast beef will be needed? Between what two whole numbers does your answer lie?</i>","http://corestandards.org/Math/Content/4/NF/B/4/c/","Number & Operations_Fractions","NF","NF.B.4c"
"04","Number Systems, Operations & Abstract Representation","NSO&AR","4.NF.C.5","Express a fraction with denominator 10 as an equivalent fraction with denominator 100, and use this technique to add two fractions with respective denominators 10 and 100.<sup>2</sup> <i>For example, express 3/10 as 30/100, and add 3/10 + 4/100 = 34/100</i>.","http://corestandards.org/Math/Content/4/NF/C/5/","Number & Operations_Fractions","NF","NF.C.5"
"04","Number Systems, Operations & Abstract Representation","NSO&AR","4.NF.C.6","Use decimal notation for fractions with denominators 10 or 100. <i>For example, rewrite 0.62 as 62/100; describe a length as 0.62 meters; locate 0.62 on a number line diagram</i>.","http://corestandards.org/Math/Content/4/NF/C/6/","Number & Operations_Fractions","NF","NF.C.6"
"04","Number Systems, Operations & Abstract Representation","NSO&AR","4.NF.C.7","Compare two decimals to hundredths by reasoning about their size. Recognize that comparisons are valid only when the two decimals refer to the same whole. Record the results of comparisons with the symbols &gt;, =, or &lt;, and justify the conclusions, e.g., by using a visual model.","http://corestandards.org/Math/Content/4/NF/C/7/","Number & Operations_Fractions","NF","NF.C.7"
"04","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","4.OA.A.1","Interpret a multiplication equation as a comparison, e.g., interpret 35 = 5 &times; 7 as a statement that 35 is 5 times as many as 7 and 7 times as many as 5. Represent verbal statements of multiplicative comparisons as multiplication equations.","http://corestandards.org/Math/Content/4/OA/A/1/","Operations & Algebraic Thinking","OA","OA.A.1"
"04","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","4.OA.A.2","Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison.<sup>1</sup>","http://corestandards.org/Math/Content/4/OA/A/2/","Operations & Algebraic Thinking","OA","OA.A.2"
"04","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","4.OA.A.3","Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.","http://corestandards.org/Math/Content/4/OA/A/3/","Operations & Algebraic Thinking","OA","OA.A.3"
"04","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","4.OA.B.4","Find all factor pairs for a whole number in the range 1-100. Recognize that a whole number is a multiple of each of its factors. Determine whether a given whole number in the range 1-100 is a multiple of a given one-digit number. Determine whether a given whole number in the range 1-100 is prime or composite.","http://corestandards.org/Math/Content/4/OA/B/4/","Operations & Algebraic Thinking","OA","OA.B.4"
"04","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","4.OA.C.5","Generate a number or shape pattern that follows a given rule. Identify apparent features of the pattern that were not explicit in the rule itself. <i>For example, given the rule ""Add 3"" and the starting number 1, generate terms in the resulting sequence and observe that the terms appear to alternate between odd and even numbers. Explain informally why the numbers will continue to alternate in this way</i>.","http://corestandards.org/Math/Content/4/OA/C/5/","Operations & Algebraic Thinking","OA","OA.C.5"
"05","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","5.G.A.1","Use a pair of perpendicular number lines, called axes, to define a coordinate system, with the intersection of the lines (the origin) arranged to coincide with the 0 on each line and a given point in the plane located by using an ordered pair of numbers, called its coordinates. Understand that the first number indicates how far to travel from the origin in the direction of one axis, and the second number indicates how far to travel in the direction of the second axis, with the convention that the names of the two axes and the coordinates correspond (e.g., <i>x</i>-axis and <i>x</i>-coordinate, <i>y</i>-axis and<i> y</i>-coordinate).","http://corestandards.org/Math/Content/5/G/A/1/","Geometry","G","G.A.1"
"05","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","5.G.A.2","Represent real world and mathematical problems by graphing points in the first quadrant of the coordinate plane, and interpret coordinate values of points in the context of the situation.","http://corestandards.org/Math/Content/5/G/A/2/","Geometry","G","G.A.2"
"05","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","5.G.B.3","Understand that attributes belonging to a category of two-dimensional figures also belong to all subcategories of that category. For example, all rectangles have four right angles and squares are rectangles, so all squares have four right angles.","http://corestandards.org/Math/Content/5/G/B/3/","Geometry","G","G.B.3"
"05","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","5.G.B.4","Classify two-dimensional figures in a hierarchy based on properties.","http://corestandards.org/Math/Content/5/G/B/4/","Geometry","G","G.B.4"
"05","Measurement, Data, Probability & Statistics","MDP&S","5.MD.A.1","Convert among different-sized standard measurement units within a given measurement system (e.g., convert 5 cm to 0.05 m), and use these conversions in solving multi-step, real world problems.","http://corestandards.org/Math/Content/5/MD/A/1/","Measurement & Data","MD","MD.A.1"
"05","Measurement, Data, Probability & Statistics","MDP&S","5.MD.B.2","Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Use operations on fractions for this grade to solve problems involving information presented in line plots. <i>For example, given different measurements of liquid in identical beakers, find the amount of liquid each beaker would contain if the total amount in all the beakers were redistributed equally</i>.","http://corestandards.org/Math/Content/5/MD/B/2/","Measurement & Data","MD","MD.B.2"
"05","Measurement, Data, Probability & Statistics","MDP&S","5.MD.C.3","Recognize volume as an attribute of solid figures and understand concepts of volume measurement.","http://corestandards.org/Math/Content/5/MD/C/3/","Measurement & Data","MD","MD.C.3"
"05","Measurement, Data, Probability & Statistics","MDP&S","5.MD.C.3a","A cube with side length 1 unit, called a ""unit cube,"" is said to have ""one cubic unit"" of volume, and can be used to measure volume.","http://corestandards.org/Math/Content/5/MD/C/3/a/","Measurement & Data","MD","MD.C.3a"
"05","Measurement, Data, Probability & Statistics","MDP&S","5.MD.C.3b","A solid figure which can be packed without gaps or overlaps using <i>n</i> unit cubes is said to have a volume of <i>n</i> cubic units.","http://corestandards.org/Math/Content/5/MD/C/3/b/","Measurement & Data","MD","MD.C.3b"
"05","Measurement, Data, Probability & Statistics","MDP&S","5.MD.C.4","Measure volumes by counting unit cubes, using cubic cm, cubic in, cubic ft, and improvised units.","http://corestandards.org/Math/Content/5/MD/C/4/","Measurement & Data","MD","MD.C.4"
"05","Measurement, Data, Probability & Statistics","MDP&S","5.MD.C.5","Relate volume to the operations of multiplication and addition and solve real world and mathematical problems involving volume.","http://corestandards.org/Math/Content/5/MD/C/5/","Measurement & Data","MD","MD.C.5"
"05","Measurement, Data, Probability & Statistics","MDP&S","5.MD.C.5a","Find the volume of a right rectangular prism with whole-number side lengths by packing it with unit cubes, and show that the volume is the same as would be found by multiplying the edge lengths, equivalently by multiplying the height by the area of the base. Represent threefold whole-number products as volumes, e.g., to represent the associative property of multiplication.","http://corestandards.org/Math/Content/5/MD/C/5/a/","Measurement & Data","MD","MD.C.5a"
"05","Measurement, Data, Probability & Statistics","MDP&S","5.MD.C.5b","Apply the formulas <i>V</i> = <i>l</i> &times; <i>w</i> &times; <i>h</i> and <i>V</i> = <i>b</i> &times; <i>h</i> for rectangular prisms to find volumes of right rectangular prisms with whole-number edge lengths in the context of solving real world and mathematical problems.","http://corestandards.org/Math/Content/5/MD/C/5/b/","Measurement & Data","MD","MD.C.5b"
"05","Measurement, Data, Probability & Statistics","MDP&S","5.MD.C.5c","Recognize volume as additive. Find volumes of solid figures composed of two non-overlapping right rectangular prisms by adding the volumes of the non-overlapping parts, applying this technique to solve real world problems.","http://corestandards.org/Math/Content/5/MD/C/5/c/","Measurement & Data","MD","MD.C.5c"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NBT.A.1","Recognize that in a multi-digit number, a digit in one place represents 10 times as much as it represents in the place to its right and 1/10 of what it represents in the place to its left.","http://corestandards.org/Math/Content/5/NBT/A/1/","Numbers & Operations Base 10","NBT","NBT.A.1"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NBT.A.2","Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole-number exponents to denote powers of 10.","http://corestandards.org/Math/Content/5/NBT/A/2/","Numbers & Operations Base 10","NBT","NBT.A.2"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NBT.A.3","Read, write, and compare decimals to thousandths.","http://corestandards.org/Math/Content/5/NBT/A/3/","Numbers & Operations Base 10","NBT","NBT.A.3"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NBT.A.3a","Read and write decimals to thousandths using base-ten numerals, number names, and expanded form, e.g., 347.392 = 3 &times; 100 + 4 &times; 10 + 7 &times; 1 + 3 &times; (1/10) + 9 &times; (1/100) + 2 &times; (1/1000).","http://corestandards.org/Math/Content/5/NBT/A/3/a/","Numbers & Operations Base 10","NBT","NBT.A.3a"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NBT.A.3b","Compare two decimals to thousandths based on meanings of the digits in each place, using &gt;, =, and &lt; symbols to record the results of comparisons.","http://corestandards.org/Math/Content/5/NBT/A/3/b/","Numbers & Operations Base 10","NBT","NBT.A.3b"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NBT.A.4","Use place value understanding to round decimals to any place.","http://corestandards.org/Math/Content/5/NBT/A/4/","Numbers & Operations Base 10","NBT","NBT.A.4"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NBT.B.5","Fluently multiply multi-digit whole numbers using the standard algorithm.","http://corestandards.org/Math/Content/5/NBT/B/5/","Numbers & Operations Base 10","NBT","NBT.B.5"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NBT.B.6","Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.","http://corestandards.org/Math/Content/5/NBT/B/6/","Numbers & Operations Base 10","NBT","NBT.B.6"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NBT.B.7","Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.","http://corestandards.org/Math/Content/5/NBT/B/7/","Numbers & Operations Base 10","NBT","NBT.B.7"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NF.A.1","Add and subtract fractions with unlike denominators (including mixed numbers) by replacing given fractions with equivalent fractions in such a way as to produce an equivalent sum or difference of fractions with like denominators. <i>For example, 2/3 + 5/4 = 8/12 + 15/12 = 23/12. (In general, a/b + c/d = (ad + bc)/bd.)</i>","http://corestandards.org/Math/Content/5/NF/A/1/","Number & Operations_Fractions","NF","NF.A.1"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NF.A.2","Solve word problems involving addition and subtraction of fractions referring to the same whole, including cases of unlike denominators, e.g., by using visual fraction models or equations to represent the problem. Use benchmark fractions and number sense of fractions to estimate mentally and assess the reasonableness of answers. <i>For example, recognize an incorrect result 2/5 + 1/2 = 3/7, by observing that 3/7 &lt; 1/2</i>.","http://corestandards.org/Math/Content/5/NF/A/2/","Number & Operations_Fractions","NF","NF.A.2"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NF.B.3","Interpret a fraction as division of the numerator by the denominator (<i>a</i>/<i>b</i> = <i>a</i> &divide; <i>b</i>). Solve word problems involving division of whole numbers leading to answers in the form of fractions or mixed numbers, e.g., by using visual fraction models or equations to represent the problem. <i>For example, interpret 3/4 as the result of dividing 3 by 4, noting that 3/4 multiplied by 4 equals 3, and that when 3 wholes are shared equally among 4 people each person has a share of size 3/4. If 9 people want to share a 50-pound sack of rice equally by weight, how many pounds of rice should each person get? Between what two whole numbers does your answer lie?</i>","http://corestandards.org/Math/Content/5/NF/B/3/","Number & Operations_Fractions","NF","NF.B.3"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NF.B.4","Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction.","http://corestandards.org/Math/Content/5/NF/B/4/","Number & Operations_Fractions","NF","NF.B.4"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NF.B.4a","Interpret the product (<i>a</i>/<i>b</i>) × <i>q</i> as <em>a</em> parts of a partition of <i>q</i> into <i>b</i> equal parts; equivalently, as the result of a sequence of operations<i> a</i> × <i>q</i> ÷ <i>b</i>. <i>For example, use a visual fraction model to show (2/3) × 4 = 8/3, and create a story context for this equation. Do the same with (2/3) × (4/5) = 8/15. (In general, (a/b) × (c/d) = ac/bd.)</i>","http://corestandards.org/Math/Content/5/NF/B/4/a/","Number & Operations_Fractions","NF","NF.B.4a"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NF.B.4b","Find the area of a rectangle with fractional side lengths by tiling it with unit squares of the appropriate unit fraction side lengths, and show that the area is the same as would be found by multiplying the side lengths. Multiply fractional side lengths to find areas of rectangles, and represent fraction products as rectangular areas.","http://corestandards.org/Math/Content/5/NF/B/4/b/","Number & Operations_Fractions","NF","NF.B.4b"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NF.B.5","Interpret multiplication as scaling (resizing), by:","http://corestandards.org/Math/Content/5/NF/B/5/","Number & Operations_Fractions","NF","NF.B.5"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NF.B.5a","Comparing the size of a product to the size of one factor on the basis of the size of the other factor, without performing the indicated multiplication.","http://corestandards.org/Math/Content/5/NF/B/5/a/","Number & Operations_Fractions","NF","NF.B.5a"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NF.B.5b","Explaining why multiplying a given number by a fraction greater than 1 results in a product greater than the given number (recognizing multiplication by whole numbers greater than 1 as a familiar case); explaining why multiplying a given number by a fraction less than 1 results in a product smaller than the given number; and relating the principle of fraction equivalence <i>a</i>/<i>b</i> = (<i>n</i> &times; <i>a</i>)/(<i>n</i> &times; <i>b</i>) to the effect of multiplying <i>a</i>/<i>b</i> by 1.","http://corestandards.org/Math/Content/5/NF/B/5/b/","Number & Operations_Fractions","NF","NF.B.5b"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NF.B.6","Solve real world problems involving multiplication of fractions and mixed numbers, e.g., by using visual fraction models or equations to represent the problem.","http://corestandards.org/Math/Content/5/NF/B/6/","Number & Operations_Fractions","NF","NF.B.6"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NF.B.7","Apply and extend previous understandings of division to divide unit fractions by whole numbers and whole numbers by unit fractions.<sup>1</sup>","http://corestandards.org/Math/Content/5/NF/B/7/","Number & Operations_Fractions","NF","NF.B.7"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NF.B.7a","Interpret division of a unit fraction by a non-zero whole number, and compute such quotients. <i>For example, create a story context for (1/3) &divide; 4, and use a visual fraction model to show the quotient. Use the relationship between multiplication and division to explain that (1/3) &divide; 4 = 1/12 because (1/12) &times; 4 = 1/3</i>.","http://corestandards.org/Math/Content/5/NF/B/7/a/","Number & Operations_Fractions","NF","NF.B.7a"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NF.B.7b","Interpret division of a whole number by a unit fraction, and compute such quotients. <i>For example, create a story context for 4 &divide; (1/5), and use a visual fraction model to show the quotient. Use the relationship between multiplication and division to explain that 4 &divide; (1/5) = 20 because 20 &times; (1/5) = 4</i>.","http://corestandards.org/Math/Content/5/NF/B/7/b/","Number & Operations_Fractions","NF","NF.B.7b"
"05","Number Systems, Operations & Abstract Representation","NSO&AR","5.NF.B.7c","Solve real world problems involving division of unit fractions by non-zero whole numbers and division of whole numbers by unit fractions, e.g., by using visual fraction models and equations to represent the problem. <i>For example, how much chocolate will each person get if 3 people share 1/2 lb of chocolate equally? How many 1/3-cup servings are in 2 cups of raisins?</i>","http://corestandards.org/Math/Content/5/NF/B/7/c/","Number & Operations_Fractions","NF","NF.B.7c"
"05","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","5.OA.A.1","Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.","http://corestandards.org/Math/Content/5/OA/A/1/","Operations & Algebraic Thinking","OA","OA.A.1"
"05","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","5.OA.A.2","Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them. <i>For example, express the calculation ""add 8 and 7, then multiply by 2"" as 2 &times; (8 + 7). Recognize that 3 &times; (18932 + 921) is three times as large as 18932 + 921, without having to calculate the indicated sum or product</i>.","http://corestandards.org/Math/Content/5/OA/A/2/","Operations & Algebraic Thinking","OA","OA.A.2"
"05","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","5.OA.B.3","Generate two numerical patterns using two given rules. Identify apparent relationships between corresponding terms. Form ordered pairs consisting of corresponding terms from the two patterns, and graph the ordered pairs on a coordinate plane. <i>For example, given the rule ""Add 3"" and the starting number 0, and given the rule ""Add 6"" and the starting number 0, generate terms in the resulting sequences, and observe that the terms in one sequence are twice the corresponding terms in the other sequence. Explain informally why this is so</i>.","http://corestandards.org/Math/Content/5/OA/B/3/","Operations & Algebraic Thinking","OA","OA.B.3"
"06","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","6.EE.A.1","Write and evaluate numerical expressions involving whole-number exponents.","http://corestandards.org/Math/Content/6/EE/A/1/","Expressions & Equations","EE","EE.A.1"
"06","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","6.EE.A.2","Write, read, and evaluate expressions in which letters stand for numbers.","http://corestandards.org/Math/Content/6/EE/A/2/","Expressions & Equations","EE","EE.A.2"
"06","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","6.EE.A.2a","Write expressions that record operations with numbers and with letters standing for numbers. <i>For example, express the calculation ""Subtract y from 5"" as 5 - y</i>.","http://corestandards.org/Math/Content/6/EE/A/2/a/","Expressions & Equations","EE","EE.A.2a"
"06","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","6.EE.A.2b","Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity. <i>For example, describe the expression 2 (8 + 7) as a product of two factors; view (8 + 7) as both a single entity and a sum of two terms</i>.","http://corestandards.org/Math/Content/6/EE/A/2/b/","Expressions & Equations","EE","EE.A.2b"
"06","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","6.EE.A.2c","Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations). <i>For example, use the formulas V = s<sup>3</sup> and A = 6 s<sup>2</sup> to find the volume and surface area of a cube with sides of length s = 1/2</i>.","http://corestandards.org/Math/Content/6/EE/A/2/c/","Expressions & Equations","EE","EE.A.2c"
"06","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","6.EE.A.3","Apply the properties of operations to generate equivalent expressions. <i>For example, apply the distributive property to the expression 3 (2 + x) to produce the equivalent expression 6 + 3x; apply the distributive property to the expression 24x + 18y to produce the equivalent expression 6 (4x + 3y); apply properties of operations to y + y + y to produce the equivalent expression 3y</i>.","http://corestandards.org/Math/Content/6/EE/A/3/","Expressions & Equations","EE","EE.A.3"
"06","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","6.EE.A.4","Identify when two expressions are equivalent (i.e., when the two expressions name the same number regardless of which value is substituted into them). <i>For example, the expressions y + y + y and 3y are equivalent because they name the same number regardless of which number y stands for.</i>.","http://corestandards.org/Math/Content/6/EE/A/4/","Expressions & Equations","EE","EE.A.4"
"06","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","6.EE.B.5","Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.","http://corestandards.org/Math/Content/6/EE/B/5/","Expressions & Equations","EE","EE.B.5"
"06","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","6.EE.B.6","Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set.","http://corestandards.org/Math/Content/6/EE/B/6/","Expressions & Equations","EE","EE.B.6"
"06","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","6.EE.B.7","Solve real-world and mathematical problems by writing and solving equations of the form <i>x</i> + <i>p</i> = <i>q</i> and<i> px</i> = <i>q</i> for cases in which <i>p</i>, <i>q</i> and <i>x</i> are all nonnegative rational numbers.","http://corestandards.org/Math/Content/6/EE/B/7/","Expressions & Equations","EE","EE.B.7"
"06","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","6.EE.B.8","Write an inequality of the form <i>x</i> &gt; <i>c</i> or <i>x</i> &lt; <i>c</i> to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form <i>x</i> &gt; <i>c</i> or<i> x</i> &lt; c have infinitely many solutions; represent solutions of such inequalities on number line diagrams.","http://corestandards.org/Math/Content/6/EE/B/8/","Expressions & Equations","EE","EE.B.8"
"06","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","6.EE.C.9","Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent variable. Analyze the relationship between the dependent and independent variables using graphs and tables, and relate these to the equation. For example, in a problem involving motion at constant speed, list and graph ordered pairs of distances and times, and write the equation d = 65t to represent the relationship between distance and time.","http://corestandards.org/Math/Content/6/EE/C/9/","Expressions & Equations","EE","EE.C.9"
"06","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","6.G.A.1","Find the area of right triangles, other triangles, special quadrilaterals, and polygons by composing into rectangles or decomposing into triangles and other shapes; apply these techniques in the context of solving real-world and mathematical problems.","http://corestandards.org/Math/Content/6/G/A/1/","Geometry","G","G.A.1"
"06","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","6.G.A.2","Find the volume of a right rectangular prism with fractional edge lengths by packing it with unit cubes of the appropriate unit fraction edge lengths, and show that the volume is the same as would be found by multiplying the edge lengths of the prism. Apply the formulas <i>V = l w h</i> and <i>V = b h</i> to find volumes of right rectangular prisms with fractional edge lengths in the context of solving real-world and mathematical problems.","http://corestandards.org/Math/Content/6/G/A/2/","Geometry","G","G.A.2"
"06","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","6.G.A.3","Draw polygons in the coordinate plane given coordinates for the vertices; use coordinates to find the length of a side joining points with the same first coordinate or the same second coordinate. Apply these techniques in the context of solving real-world and mathematical problems.","http://corestandards.org/Math/Content/6/G/A/3/","Geometry","G","G.A.3"
"06","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","6.G.A.4","Represent three-dimensional figures using nets made up of rectangles and triangles, and use the nets to find the surface area of these figures. Apply these techniques in the context of solving real-world and mathematical problems.","http://corestandards.org/Math/Content/6/G/A/4/","Geometry","G","G.A.4"
"06","Number Systems, Operations & Abstract Representation","NSO&AR","6.NS.A.1","Interpret and compute quotients of fractions, and solve word problems involving division of fractions by fractions, e.g., by using visual fraction models and equations to represent the problem. <i>For example, create a story context for (2/3) &divide; (3/4) and use a visual fraction model to show the quotient; use the relationship between multiplication and division to explain that (2/3) &divide; (3/4) = 8/9 because 3/4 of 8/9 is 2/3. (In general, (a/b) &divide; (c/d) = ad/bc.) How much chocolate will each person get if 3 people share 1/2 lb of chocolate equally? How many 3/4-cup servings are in 2/3 of a cup of yogurt? How wide is a rectangular strip of land with length 3/4 mi and area 1/2 square mi?</i>.","http://corestandards.org/Math/Content/6/NS/A/1/","Number System","NS","NS.A.1"
"06","Number Systems, Operations & Abstract Representation","NSO&AR","6.NS.B.2","Fluently divide multi-digit numbers using the standard algorithm.","http://corestandards.org/Math/Content/6/NS/B/2/","Number System","NS","NS.B.2"
"06","Number Systems, Operations & Abstract Representation","NSO&AR","6.NS.B.3","Fluently add, subtract, multiply, and divide multi-digit decimals using the standard algorithm for each operation.","http://corestandards.org/Math/Content/6/NS/B/3/","Number System","NS","NS.B.3"
"06","Number Systems, Operations & Abstract Representation","NSO&AR","6.NS.B.4","Find the greatest common factor of two whole numbers less than or equal to 100 and the least common multiple of two whole numbers less than or equal to 12. Use the distributive property to express a sum of two whole numbers 1-100 with a common factor as a multiple of a sum of two whole numbers with no common factor. <i>For example, express 36 + 8 as 4 (9 + 2).</i>.","http://corestandards.org/Math/Content/6/NS/B/4/","Number System","NS","NS.B.4"
"06","Number Systems, Operations & Abstract Representation","NSO&AR","6.NS.C.5","Understand that positive and negative numbers are used together to describe quantities having opposite directions or values (e.g., temperature above/below zero, elevation above/below sea level, credits/debits, positive/negative electric charge); use positive and negative numbers to represent quantities in real-world contexts, explaining the meaning of 0 in each situation.","http://corestandards.org/Math/Content/6/NS/C/5/","Number System","NS","NS.C.5"
"06","Number Systems, Operations & Abstract Representation","NSO&AR","6.NS.C.6","Understand a rational number as a point on the number line. Extend number line diagrams and coordinate axes familiar from previous grades to represent points on the line and in the plane with negative number coordinates.","http://corestandards.org/Math/Content/6/NS/C/6/","Number System","NS","NS.C.6"
"06","Number Systems, Operations & Abstract Representation","NSO&AR","6.NS.C.6a","Recognize opposite signs of numbers as indicating locations on opposite sides of 0 on the number line; recognize that the opposite of the opposite of a number is the number itself, e.g., -(-3) = 3, and that 0 is its own opposite.","http://corestandards.org/Math/Content/6/NS/C/6/a/","Number System","NS","NS.C.6a"
"06","Number Systems, Operations & Abstract Representation","NSO&AR","6.NS.C.6b","Understand signs of numbers in ordered pairs as indicating locations in quadrants of the coordinate plane; recognize that when two ordered pairs differ only by signs, the locations of the points are related by reflections across one or both axes.","http://corestandards.org/Math/Content/6/NS/C/6/b/","Number System","NS","NS.C.6b"
