grade,dimension,dim,subcategory,subcat,code,statement,PEcode,performanceExpectation,clarifyingStatement,assessmentBoundary
"k,1,2",Disciplinary Core ideas,DCI,Chemical Reactions,PS1.B,PS1.B-P1,"Heating or cooling a substance may cause changes that can be observed. Sometimes these changes are reversible, and sometimes they are not.",2-PS1-4,Construct an argument with evidence that some changes caused by heating or cooling can be reversed and some cannot.,"Examples of reversible changes could include materials such as water and butter at different temperatures. Examples of irreversible changes could include cooking an egg, freezing a plant leaf, and heating paper.",
"3,4,5",Disciplinary Core ideas,DCI,Chemical Reactions,PS1.B,PS1.B-E1,"When two or more different substances are mixed, a new substance with different properties may be formed.",5-PS1-2,"Measure and graph quantities to provide evidence that regardless of the type of change that occurs when heating, cooling, or mixing substances, the total weight of matter is conserved.","Examples of reactions or changes could include phase changes, dissolving, and mixing that form new substances.",Assessment does not include distinguishing mass and weight.
"3,4,5",Disciplinary Core ideas,DCI,Chemical Reactions,PS1.B,PS1.B-E2,"No matter what reaction or change in properties occurs, the total weight of the substances does not change. (Boundary: Mass and weight are not distinguished at this grade level.)",MS-PS1-2,Analyze and interpret data on the properties of substances before and after the substances interact to determine if a chemical reaction has occurred.,"Examples of reactions could include burning sugar or steel wool, fat reacting with sodium hydroxide, and mixing zinc with hydrogen chloride.","Assessment is limited to analysis of the following properties: density, melting point, boiling point, solubility, flammability, and odor."
"6,7,8",Disciplinary Core ideas,DCI,Chemical Reactions,PS1.B,PS1.B-M1,"Substances react chemically in characteristic ways. In a chemical process, the atoms that make up the original substances are regrouped into different molecules, and these new substances have different properties from those of the reactants.",MS-PS1-5,Develop and use a model to describe how the total number of atoms does not change in a chemical reaction and thus mass is conserved.,"Emphasis is on law of conservation of matter and on physical models or drawings, including digital forms, that represent atoms.","Assessment does not include the use of atomic masses, balancing symbolic equations, or intermolecular forces."
"6,7,8",Disciplinary Core ideas,DCI,Chemical Reactions,PS1.B,PS1.B-M2,"The total number of each type of atom is conserved, and thus the mass does not change.",MS-PS1-6,"Undertake a design project to construct, test, and modify a device that either releases or absorbs thermal energy by chemical processes.","Emphasis is on the design, controlling the transfer of energy to the environment, and modification of a device using factors such as type and concentration of a substance. Examples of designs could involve chemical reactions such as dissolving ammonium chloride or calcium chloride.","Assessment is limited to the criteria of amount, time, and temperature of substance in testing the device."
"6,7,8",Disciplinary Core ideas,DCI,Chemical Reactions,PS1.B,PS1.B-M3,"Some chemical reactions release energy, others store energy.",HS-PS1-4,Develop a model to illustrate that the release or absorption of energy from a chemical reaction system depends upon the changes in total bond energy.,"Emphasis is on the idea that a chemical reaction is a system that affects the energy change. Examples of models could include molecular-level drawings and diagrams of reactions, graphs showing the relative energies of reactants and products, and representations showing energy is conserved.",Assessment does not include calculating the total bond energy changes during a chemical reaction from the bond energies of reactants and products.
"9,10,11,12",Disciplinary Core ideas,DCI,Chemical Reactions,PS1.B,PS1.B-H1,"Chemical processes, their rates, and whether or not energy is stored or released can be understood in terms of the collisions of molecules and the rearrangements of atoms into new molecules, with consequent changes in the sum of all bond energies in the set of molecules that are matched by changes in kinetic energy.",HS-PS1-6,Refine the design of a chemical system by specifying a change in conditions that would produce increased amounts of products at equilibrium.,"Emphasis is on the application of Le Chatlier’s Principle and on refining designs of chemical reaction systems, including descriptions of the connection between changes made at the macroscopic level and what happens at the molecular level. Examples of designs could include different ways to increase product formation including adding reactants or removing products.",Assessment is limited to specifying the change in only one variable at a time. Assessment does not include calculating equilibrium constants and concentrations.
"9,10,11,12",Disciplinary Core ideas,DCI,Chemical Reactions,PS1.B,PS1.B-H2,"In many situations, a dynamic and condition-dependent balance between a reaction and the reverse reaction determines the numbers of all types of molecules present.",HS-PS1-7,"Use mathematical representations to support the claim that atoms, and therefore mass, are conserved during a chemical reaction.","Emphasis is on using mathematical ideas to communicate the proportional relationships between masses of atoms in the reactants and the products, and the translation of these relationships to the macroscopic scale using the mole as the conversion from the atomic to the macroscopic scale. Emphasis is on assessing students’ use of mathematical thinking and not on memorization and rote application of problem-solving techniques",Assessment does not include complex chemical reactions.]
"9,10,11,12",Disciplinary Core ideas,DCI,Chemical Reactions,PS1.B,PS1.B-H3,"The fact that atoms are conserved, together with knowledge of the chemical properties of the elements involved, can be used to describe and predict chemical reactions.",HS-PS1-8,"Develop models to illustrate the changes in the composition of the nucleus of the atom and the energy released during the processes of fission, fusion, and radioactive decay.","Emphasis is on simple qualitative models, such as pictures or diagrams, and on the scale of energy released in nuclear processes relative to other kinds of transformations.","Assessment does not include quantitative calculation of energy released. Assessment is limited to alpha, beta, and gamma radioactive decays."
"9,10,11,12",Disciplinary Core ideas,DCI,Nuclear Processes,PS1.C,PS1.C-H1,"Nuclear processes, including fusion, fission, and radioactive decays of unstable nuclei, involve release or absorption of energy. The total number of neutrons plus protons does not change in any nuclear process.",HS-ESS1-5,Evaluate evidence of the past and current movements of continental and oceanic crust and the theory of plate tectonics to explain the ages of crustal rocks.,Emphasis is on the ability of plate tectonics to explain the ages of crustal rocks. Examples include evidence of the ages oceanic crust increasing with distance from mid-ocean ridges (a result of plate spreading) and the ages of North American continental crust increasing with distance away from a central ancient core (a result of past plate interactions).,
"9,10,11,12",Disciplinary Core ideas,DCI,Nuclear Processes,PS1.C,PS1.C-H2,Spontaneous radioactive decays follow a characteristic exponential decay law. Nuclear lifetimes allow radiometric dating to be used to determine the ages of rocks and other materials.,HS-ESS1-6,"Apply scientific reasoning and evidence from ancient Earth materials, meteorites, and other planetary surfaces to construct an account of Earth’s formation and early history.","Emphasis is on using available evidence within the solar system to reconstruct the early history of Earth, which formed along with the rest of the solar system 4.6 billion years ago. Examples of evidence include the absolute ages of ancient materials (obtained by radiometric dating of meteorites, moon rocks, and Earth’s oldest minerals), the sizes and compositions of solar system objects, and the impact cratering record of planetary surfaces.",
"k,1,2",Disciplinary Core ideas,DCI,Forces & Motion,PS2.A,PS2.A-P1,Pushes and pulls can have different strengths and directions.,3-PS2-1,Plan and conduct an investigation to provide evidence of the effects of balanced and unbalanced forces on the motion of an object.,"Examples could include an unbalanced force on one side of a ball can make it start moving; and, balanced forces pushing on a box from both sides will not produce any motion at all.","Assessment is limited to one variable at a time: number, size, or direction of forces. Assessment does not include quantitative force size, only qualitative and relative. Assessment is limited to gravity being addressed as a force that pulls objects down."
"k,1,2",Disciplinary Core ideas,DCI,Forces & Motion,PS2.A,PS2.A-P2,Pushing or pulling on an object can change the speed or direction of its motion and can start or stop it.,3-PS2-2,Make observations and/or measurements of an object’s motion to provide evidence that a pattern can be used to predict future motion.,"Examples of motion with a predictable pattern could include a child swinging in a swing, a ball rolling back and forth in a bowl, and two children on a see-saw.",Assessment does not include technical terms such as period and frequency.
"3,4,5",Disciplinary Core ideas,DCI,Forces & Motion,PS2.A,PS2.A-E1,"Each force acts on one particular object and has both strength and a direction. An object at rest typically has multiple forces acting on it, but they add to give zero net force on the object. Forces that do not sum to zero can cause changes in the object’s speed or direction of motion. (Boundary: Qualitative and conceptual, but not quantitative addition of forces are used at this level.)",K-PS2-1,Plan and conduct an investigation to compare the effects of different strengths or different directions of pushes and pulls on the motion of an object.,"Examples of pushes or pulls could include a string attached to an object being pulled, a person pushing an object, a person stopping a rolling ball, and two objects colliding and pushing on each other.","Assessment is limited to different relative strengths or different directions, but not both at the same time. Assessment does not include non-contact pushes or pulls such as those produced by magnets."
"3,4,5",Disciplinary Core ideas,DCI,Forces & Motion,PS2.A,PS2.A-E2,"The patterns of an object’s motion in various situations can be observed and measured; when that past motion exhibits a regular pattern, future motion can be predicted from it. (Boundary: Technical terms, such as magnitude, velocity, momentum, and vector quantity, are not introduced at this level, but the concept that some quantities need both size and direction to be described is developed.)",K-PS2-1,Plan and conduct an investigation to compare the effects of different strengths or different directions of pushes and pulls on the motion of an object.,"Examples of pushes or pulls could include a string attached to an object being pulled, a person pushing an object, a person stopping a rolling ball, and two objects colliding and pushing on each other.","Assessment is limited to different relative strengths or different directions, but not both at the same time. Assessment does not include non-contact pushes or pulls such as those produced by magnets."
"6,7,8",Disciplinary Core ideas,DCI,Forces & Motion,PS2.A,PS2.A-M1,"For any pair of interacting objects, the force exerted by the first object on the second object is equal in strength to the force that the second object exerts on the first, but in the opposite direction (Newton’s third law).",MS-PS2-1,Apply Newton’s Third Law to design a solution to a problem involving the motion of two colliding objects.,"Examples of practical problems could include the impact of collisions between two cars, between a car and stationary objects, and between a meteor and a space vehicle.",Assessment is limited to vertical or horizontal interactions in one dimension.
"6,7,8",Disciplinary Core ideas,DCI,Forces & Motion,PS2.A,PS2.A-M2,"The motion of an object is determined by the sum of the forces acting on it; if the total force on the object is not zero, its motion will change. The greater the mass of the object, the greater the force needed to achieve the same change in motion. For any given object, a larger force causes a larger change in motion.",MS-PS2-2,Plan an investigation to provide evidence that the change in an object’s motion depends on the sum of the forces on the object and the mass of the object.,"Emphasis is on balanced (Newton’s First Law) and unbalanced forces in a system, qualitative comparisons of forces, mass and changes in motion (Newton’s Second Law), frame of reference, and specification of units.",Assessment is limited to forces and changes in motion in one-dimension in an inertial reference frame and to change in one variable at a time. Assessment does not include the use of trigonometry.
"6,7,8",Disciplinary Core ideas,DCI,Forces & Motion,PS2.A,PS2.A-M3,"All positions of objects and the directions of forces and motions must be described in an arbitrarily chosen reference frame and arbitrarily chosen units of size. In order to share information with other people, these choices must also be shared.",MS-PS2-2,Plan an investigation to provide evidence that the change in an object’s motion depends on the sum of the forces on the object and the mass of the object.,"Emphasis is on balanced (Newton’s First Law) and unbalanced forces in a system, qualitative comparisons of forces, mass and changes in motion (Newton’s Second Law), frame of reference, and specification of units.",Assessment is limited to forces and changes in motion in one-dimension in an inertial reference frame and to change in one variable at a time. Assessment does not include the use of trigonometry.
"9,10,11,12",Disciplinary Core ideas,DCI,Forces & Motion,PS2.A,PS2.A-H1,Newton’s second law accurately predicts changes in the motion of macroscopic objects.,HS-PS2-1,"Analyze data to support the claim that Newton’s second law of motion describes the mathematical relationship among the net force on a macroscopic object, its mass, and its acceleration.","Examples of data could include tables or graphs of position or velocity as a function of time for objects subject to a net unbalanced force, such as a falling object, an object rolling down a ramp, or a moving object being pulled by a constant force.",Assessment is limited to one-dimensional motion and to macroscopic objects moving at non-relativistic speeds.
"9,10,11,12",Disciplinary Core ideas,DCI,Forces & Motion,PS2.A,PS2.A-H2,"Momentum is defined for a particular frame of reference; it is the mass times the velocity of the object. In any system, total momentum is always conserved.",HS-PS2-2,Use mathematical representations to support the claim that the total momentum of a system of objects is conserved when there is no net force on the system.,Emphasis is on the quantitative conservation of momentum in interactions and the qualitative meaning of this principle.,Assessment is limited to systems of two macroscopic bodies moving in one dimension.
"9,10,11,12",Disciplinary Core ideas,DCI,Forces & Motion,PS2.A,PS2.A-H3,"If a system interacts with objects outside itself, the total momentum of the system can change; however, any such change is balanced by changes in the momentum of objects outside the system.",HS-PS2-2,Use mathematical representations to support the claim that the total momentum of a system of objects is conserved when there is no net force on the system.,Emphasis is on the quantitative conservation of momentum in interactions and the qualitative meaning of this principle.,Assessment is limited to systems of two macroscopic bodies moving in one dimension.
"k,1,2",Disciplinary Core ideas,DCI,Types of Interactions,PS2.B,PS2.B-P1,"When objects touch or collide, they push on one another and can change motion.",K-PS2-1,Plan and conduct an investigation to compare the effects of different strengths or different directions of pushes and pulls on the motion of an object.,"Examples of pushes or pulls could include a string attached to an object being pulled, a person pushing an object, a person stopping a rolling ball, and two objects colliding and pushing on each other.","Assessment is limited to different relative strengths or different directions, but not both at the same time. Assessment does not include non-contact pushes or pulls such as those produced by magnets."
"3,4,5",Disciplinary Core ideas,DCI,Types of Interactions,PS2.B,PS2.B-E1,Objects in contact exert forces on each other.,3-PS2-1,Plan and conduct an investigation to provide evidence of the effects of balanced and unbalanced forces on the motion of an object.,"Examples could include an unbalanced force on one side of a ball can make it start moving; and, balanced forces pushing on a box from both sides will not produce any motion at all.","Assessment is limited to one variable at a time: number, size, or direction of forces. Assessment does not include quantitative force size, only qualitative and relative. Assessment is limited to gravity being addressed as a force that pulls objects down."
"3,4,5",Disciplinary Core ideas,DCI,Types of Interactions,PS2.B,PS2.B-E2,"Electric and magnetic forces between a pair of objects do not require that the objects be in contact. The sizes of the forces in each situation depend on the properties of the objects and their distances apart and, for forces between two magnets, on their orientation relative to each other.",3-PS2-1,Plan and conduct an investigation to provide evidence of the effects of balanced and unbalanced forces on the motion of an object.,"Examples could include an unbalanced force on one side of a ball can make it start moving; and, balanced forces pushing on a box from both sides will not produce any motion at all.","Assessment is limited to one variable at a time: number, size, or direction of forces. Assessment does not include quantitative force size, only qualitative and relative. Assessment is limited to gravity being addressed as a force that pulls objects down."
"3,4,5",Disciplinary Core ideas,DCI,Types of Interactions,PS2.B,PS2.B-E3,The gravitational force of Earth acting on an object near Earth's surface pulls that object toward the planet's center.,5-PS2-1,Support an argument that the gravitational force exerted by Earth on objects is directed down.,“Down” is a local description of the direction that points toward the center of the spherical Earth.,Assessment does not include mathematical representation of gravitational force.
"6,7,8",Disciplinary Core ideas,DCI,Types of Interactions,PS2.B,PS2.B-M1,"Electric and magnetic (electromagnetic) forces can be attractive or repulsive, and their sizes depend on the magnitudes of the charges, currents, or magnetic strengths involved and on the distances between the interacting objects..",MS-PS2-3,Ask questions about data to determine the factors that affect the strength of electric and magnetic forces.,"Examples of devices that use electric and magnetic forces could include electromagnets, electric motors, or generators. Examples of data could include the effect of the number of turns of wire on the strength of an electromagnet, or the effect of increasing the number or strength of magnets on the speed of an electric motor.",Assessment about questions that require quantitative answers is limited to proportional reasoning and algebraic thinking.
"6,7,8",Disciplinary Core ideas,DCI,Types of Interactions,PS2.B,PS2.B-M2,"Gravitational forces are always attractive. There is a gravitational force between any two masses, but it is very small except when one or both of the objects have large mass (e.g., Earth and the Sun).",MS-PS2-4,Construct and present arguments using evidence to support the claim that gravitational interactions are attractive and depend on the masses of interacting objects.,"Examples of evidence for arguments could include data generated from simulations or digital tools; and charts displaying mass, strength of interaction, distance from the Sun, and orbital periods of objects within the solar system.",Assessment does not include Newton’s Law of Gravitation or Kepler’s Laws.
"6,7,8",Disciplinary Core ideas,DCI,Types of Interactions,PS2.B,PS2.B-M3,"Forces that act at a distance (electric, magnetic, and gravitational) can be explained by fields that extend through space and can be mapped by their effect on a test object (a charged object, a magnet, or a ball, respectively).",MS-PS2-5,Conduct an investigation and evaluate the experimental design to provide evidence that fields exist between objects exerting forces on each other even though the objects are not in contact.,"Examples of this phenomenon could include the interactions of magnets, electrically-charged strips of tape, and electrically-charged pith balls. Examples of investigations could include first-hand experiences or simulations.","Assessment is limited to electric and magnetic fields, and limited to qualitative evidence for the existence of fields."
"9,10,11,12",Disciplinary Core ideas,DCI,Types of Interactions,PS2.B,PS2.B-H1,Newton's law of universal gravitation and Coulomb's law provide the mathematical models to describe and predict the effects of gravitational and electrostatic forces between distant objects.,HS-PS2-4,Use mathematical representations of Newton’s Law of Gravitation and Coulomb’s Law to describe and predict the gravitational and electrostatic forces between objects.,Emphasis is on both quantitative and conceptual descriptions of gravitational and electric fields.,Assessment is limited to systems with two objects.
"9,10,11,12",Disciplinary Core ideas,DCI,Types of Interactions,PS2.B,PS2.B-H2,"Forces at a distance are explained by fields (gravitational, electric, and magnetic) permeating space that can transfer energy through space. Magnets or electric currents cause magnetic fields; electric charges or changing magnetic fields cause electric fields.",HS-PS2-4,Use mathematical representations of Newton’s Law of Gravitation and Coulomb’s Law to describe and predict the gravitational and electrostatic forces between objects.,Emphasis is on both quantitative and conceptual descriptions of gravitational and electric fields.,Assessment is limited to systems with two objects.
"9,10,11,12",Disciplinary Core ideas,DCI,Types of Interactions,PS2.B,PS2.B-H3,"Attraction and repulsion between electric charges at the atomic scale explain the structure, properties, and transformations of matter, as well as the contact forces between material objects.",HS-PS2-6,Communicate scientific and technical information about why the molecular-level structure is important in the functioning of designed materials.,"Emphasis is on the attractive and repulsive forces that determine the functioning of the material. Examples could include why electrically conductive materials are often made of metal, flexible but durable materials are made up of long chained molecules, and pharmaceuticals are designed to interact with specific receptors.",Assessment is limited to provided molecular structures of specific designed materials.
"3,4,5",Disciplinary Core ideas,DCI,Definitions of Energy,PS3.A,PS3.A-E1,"The faster a given object is moving, the more energy it possesses.",4-PS3-1,Use evidence to construct an explanation relating the speed of an object to the energy of that object.,Assessment does not include quantitative measures of changes in the speed of an object or on any precise or quantitative definition of energy.,
"3,4,5",Disciplinary Core ideas,DCI,Definitions of Energy,PS3.A,PS3.A-E2,"Energy can be moved from place to place by moving objects or through sound, light, or electric currents.",4-PS3-2,"Make observations to provide evidence that energy can be transferred from place to place by sound, light, heat, and electric currents.",Assessment does not include quantitative measurements of energy.,
"6,7,8",Disciplinary Core ideas,DCI,Definitions of Energy,PS3.A,PS3.A-M1,Motion energy is properly called kinetic energy; it is proportional to the mass of the moving object and grows with the square of its speed.,MS-PS3-1,Construct and interpret graphical displays of data to describe the relationships of kinetic energy to the mass of an object and to the speed of an object.,"Emphasis is on descriptive relationships between kinetic energy and mass separately from kinetic energy and speed. Examples could include riding a bicycle at different speeds, rolling different sizes of rocks downhill, and getting hit by a wiffle ball versus a tennis ball.",
"6,7,8",Disciplinary Core ideas,DCI,Definitions of Energy,PS3.A,PS3.A-M2,"A system of objects may also contain stored (potential) energy, depending on their relative positions.",MS-PS3-2,"Develop a model to describe that when the arrangement of objects interacting at a distance changes, different amounts of potential energy are stored in the system.","Emphasis is on relative amounts of potential energy, not on calculations of potential energy. Examples of objects within systems interacting at varying distances could include: the Earth and either a roller coaster cart at varying positions on a hill or objects at varying heights on shelves, changing the direction/orientation of a magnet, and a balloon with static electrical charge being brought closer to a classmate’s hair. Examples of models could include representations, diagrams, pictures, and written descriptions of systems.","Assessment is limited to two objects and electric, magnetic, and gravitational interactions."
"6,7,8",Disciplinary Core ideas,DCI,Definitions of Energy,PS3.A,PS3.A-M3,"The term “heat” as used in everyday language refers both to thermal energy (the motion of atoms or molecules within a substance) and the transfer of that thermal energy from one object to another. In science, heat is used only for this second meaning; it refers to the energy transferred due to the temperature difference between two objects.",MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.","Emphasis is on qualitative molecular-level models of solids, liquids, and gases to show that adding or removing thermal energy increases or decreases kinetic energy of the particles until a change of state occurs. Examples of models could include drawing and diagrams. Examples of particles could include molecules or inert atoms. Examples of pure substances could include water, carbon dioxide, and helium.",
"6,7,8",Disciplinary Core ideas,DCI,Definitions of Energy,PS3.A,PS3.A-M4,"The temperature of a system is proportional to the average internal kinetic energy and potential energy per atom or molecule (whichever is the appropriate building block for the system’s material). The details of that relationship depend on the type of atom or molecule and the interactions among the atoms in the material. Temperature is not a direct measure of a system's total thermal energy. The total thermal energy (sometimes called the total internal energy) of a system depends jointly on the temperature, the total number of atoms in the system, and the state of the material.",MS-PS3-3,"Apply scientific principles to design, construct, and test a device that either minimizes or maximizes thermal energy transfer.","Examples of devices could include an insulated box, a solar cooker, and a Styrofoam cup.",Assessment does not include calculating the total amount of thermal energy transferred.
"9,10,11,12",Disciplinary Core ideas,DCI,Definitions of Energy,PS3.A,PS3.A-H1,"Energy is a quantitative property of a system that depends on the motion and interactions of matter and radiation within that system. That there is a single quantity called energy is due to the fact that a system’s total energy is conserved, even as, within the system, energy is continually transferred from one object to another and between its various possible forms.",HS-PS3-1,Create a computational model to calculate the change in the energy of one component in a system when the change in energy of the other component(s) and energy flows in and out of the system are known.,Emphasis is on explaining the meaning of mathematical expressions used in the model.,"Assessment is limited to basic algebraic expressions or computations; to systems of two or three components; and to thermal energy, kinetic energy, and/or the energies in gravitational, magnetic, or electric fields."
"9,10,11,12",Disciplinary Core ideas,DCI,Definitions of Energy,PS3.A,PS3.A-H2,"At the macroscopic scale, energy manifests itself in multiple ways, such as in motion, sound, light, and thermal energy.",HS-PS3-2,Develop and use models to illustrate that energy at the macroscopic scale can be accounted for as a combination of energy associated with the motions of particles (objects) and energy associated with the relative positions of particles (objects).,"Examples of phenomena at the macroscopic scale could include the conversion of kinetic energy to thermal energy, the energy stored due to position of an object above the earth, and the energy stored between two electrically-charged plates. Examples of models could include diagrams, drawings, descriptions, and computer simulations.",
"9,10,11,12",Disciplinary Core ideas,DCI,Definitions of Energy,PS3.A,PS3.A-H3,“Electrical energy” may mean energy stored in a battery or energy transmitted by electrical currents..,HS-PS2-5,Plan and conduct an investigation to provide evidence that an electric current can produce a magnetic field and that a changing magnetic field can produce an electric current.,Assessment is limited to designing and conducting investigations with provided materials and tools.,
"9,10,11,12",Disciplinary Core ideas,DCI,Definitions of Energy,PS3.A,PS3.A-H4,"These relationships are better understood at the microscopic scale, at which all of the different manifestations of energy can be modeled as a combination of energy associated with the motion of particles and energy associated with the configuration (relative position of the particles). In some cases the relative position energy can be thought of as stored in fields (which mediate interactions between particles). This last concept includes radiation, a phenomenon in which energy stored in fields moves across space.",HS-PS3-2,Develop and use models to illustrate that energy at the macroscopic scale can be accounted for as a combination of energy associated with the motions of particles (objects) and energy associated with the relative positions of particles (objects).,"Examples of phenomena at the macroscopic scale could include the conversion of kinetic energy to thermal energy, the energy stored due to position of an object above the earth, and the energy stored between two electrically-charged plates. Examples of models could include diagrams, drawings, descriptions, and computer simulations.",
"k,1,2",Disciplinary Core ideas,DCI,Conservation of Energy & Energy Transfer,PS3.B,PS3.B-P1,Sunlight warms Earth’s surface.,K-PS3-1,Make observations to determine the effect of sunlight on Earth’s surface.,"Examples of Earth’s surface could include sand, soil, rocks, and water",Assessment of temperature is limited to relative measures such as warmer/cooler.
"3,4,5",Disciplinary Core ideas,DCI,Conservation of Energy & Energy Transfer,PS3.B,PS3.B-E1,"Energy is present whenever there are moving objects, sound, light, or heat. When objects collide, energy can be transferred from one object to another, thereby changing their motion. In such collisions, some energy is typically also transferred to the surrounding air; as a result, the air gets heated and sound is produced.",4-PS3-2,"Make observations to provide evidence that energy can be transferred from place to place by sound, light, heat, and electric currents.",Assessment does not include quantitative measurements of energy.,
"3,4,5",Disciplinary Core ideas,DCI,Conservation of Energy & Energy Transfer,PS3.B,PS3.B-E2,Light also transfers energy from place to place.,4-PS3-2,"Make observations to provide evidence that energy can be transferred from place to place by sound, light, heat, and electric currents.",Assessment does not include quantitative measurements of energy.,
"3,4,5",Disciplinary Core ideas,DCI,Conservation of Energy & Energy Transfer,PS3.B,PS3.B-E3,"Energy can also be transferred from place to place by electric currents, which can then be used locally to produce motion, sound, heat, or light. The currents may have been produced to begin with by transforming the energy of motion into electrical energy.",4-PS3-2,"Make observations to provide evidence that energy can be transferred from place to place by sound, light, heat, and electric currents.",Assessment does not include quantitative measurements of energy.,
"6,7,8",Disciplinary Core ideas,DCI,Conservation of Energy & Energy Transfer,PS3.B,PS3.B-M1,"When the motion energy of an object changes, there is inevitably some other change in energy at the same time.",MS-PS3-3,"Apply scientific principles to design, construct, and test a device that either minimizes or maximizes thermal energy transfer.","Examples of devices could include an insulated box, a solar cooker, and a Styrofoam cup.",Assessment does not include calculating the total amount of thermal energy transferred.
"6,7,8",Disciplinary Core ideas,DCI,Conservation of Energy & Energy Transfer,PS3.B,PS3.B-M2,"The amount of energy transfer needed to change the temperature of a matter sample by a given amount depends on the nature of the matter, the size of the sample, and the environment.",MS-PS3-4,"Plan an investigation to determine the relationships among the energy transferred, the type of matter, the mass, and the change in the average kinetic energy of the particles as measured by the temperature of the sample.","Examples of experiments could include comparing final water temperatures after different masses of ice melted in the same volume of water with the same initial temperature, the temperature change of samples of different materials with the same mass as they cool or heat in the environment, or the same material with different masses when a specific amount of energy is added.",Assessment does not include calculating the total amount of thermal energy transferred.
"6,7,8",Disciplinary Core ideas,DCI,Conservation of Energy & Energy Transfer,PS3.B,PS3.B-M3,Energy is spontaneously transferred out of hotter regions or objects and into colder ones.,MS-PS3-3,"Apply scientific principles to design, construct, and test a device that either minimizes or maximizes thermal energy transfer.","Examples of devices could include an insulated box, a solar cooker, and a Styrofoam cup.",Assessment does not include calculating the total amount of thermal energy transferred.
"9,10,11,12",Disciplinary Core ideas,DCI,Conservation of Energy & Energy Transfer,PS3.B,PS3.B-H1,Conservation of energy means that the total change of energy in any system is always equal to the total energy transferred into or out of the system.,HS-PS3-1,Create a computational model to calculate the change in the energy of one component in a system when the change in energy of the other component(s) and energy flows in and out of the system are known.,Emphasis is on explaining the meaning of mathematical expressions used in the model.,"Assessment is limited to basic algebraic expressions or computations; to systems of two or three components; and to thermal energy, kinetic energy, and/or the energies in gravitational, magnetic, or electric fields."
"9,10,11,12",Disciplinary Core ideas,DCI,Conservation of Energy & Energy Transfer,PS3.B,PS3.B-H2,"Energy cannot be created or destroyed, but it can be transported from one place to another and transferred between systems.",HS-PS3-1,Create a computational model to calculate the change in the energy of one component in a system when the change in energy of the other component(s) and energy flows in and out of the system are known.,Emphasis is on explaining the meaning of mathematical expressions used in the model.,"Assessment is limited to basic algebraic expressions or computations; to systems of two or three components; and to thermal energy, kinetic energy, and/or the energies in gravitational, magnetic, or electric fields."
"9,10,11,12",Disciplinary Core ideas,DCI,Conservation of Energy & Energy Transfer,PS3.B,PS3.B-H3,"Mathematical expressions, which quantify how the stored energy in a system depends on its configuration (e.g. relative positions of charged particles, compression of a spring) and how kinetic energy depends on mass and speed, allow the concept of conservation of energy to be used to predict and describe system behavior.",HS-PS3-1,Create a computational model to calculate the change in the energy of one component in a system when the change in energy of the other component(s) and energy flows in and out of the system are known.,Emphasis is on explaining the meaning of mathematical expressions used in the model.,"Assessment is limited to basic algebraic expressions or computations; to systems of two or three components; and to thermal energy, kinetic energy, and/or the energies in gravitational, magnetic, or electric fields."
"9,10,11,12",Disciplinary Core ideas,DCI,Conservation of Energy & Energy Transfer,PS3.B,PS3.B-H4,The availability of energy limits what can occur in any system.,HS-PS3-1,Create a computational model to calculate the change in the energy of one component in a system when the change in energy of the other component(s) and energy flows in and out of the system are known.,Emphasis is on explaining the meaning of mathematical expressions used in the model.,"Assessment is limited to basic algebraic expressions or computations; to systems of two or three components; and to thermal energy, kinetic energy, and/or the energies in gravitational, magnetic, or electric fields."
"9,10,11,12",Disciplinary Core ideas,DCI,Conservation of Energy & Energy Transfer,PS3.B,PS3.B-H5,"Uncontrolled systems always evolve toward more stable states–that is, toward more uniform energy distribution (e.g., water flows downhill, objects hotter than their surrounding environment cool down).",HS-PS3-4,Plan and conduct an investigation to provide evidence that the transfer of thermal energy when two components of different temperature are combined within a closed system results in a more uniform energy distribution among the components in the system (second law of thermodynamics).,Emphasis is on analyzing data from student investigations and using mathematical thinking to describe the energy changes both quantitatively and conceptually. Examples of investigations could include mixing liquids at different initial temperatures or adding objects at different temperatures to water.,Assessment is limited to investigations based on materials and tools provided to students.
"k,1,2",Disciplinary Core ideas,DCI,Relationship Between Energy & Forces,PS3.C,PS3.C-P1,A bigger push or pull makes things speed up or slow down more quickly.,K-PS2-1,Plan and conduct an investigation to compare the effects of different strengths or different directions of pushes and pulls on the motion of an object.,"Examples of pushes or pulls could include a string attached to an object being pulled, a person pushing an object, a person stopping a rolling ball, and two objects colliding and pushing on each other.","Assessment is limited to different relative strengths or different directions, but not both at the same time. Assessment does not include non-contact pushes or pulls such as those produced by magnets."
"3,4,5",Disciplinary Core ideas,DCI,Relationship Between Energy & Forces,PS3.C,PS3.C-E1,"When objects collide, the contact forces transfer energy so as to change the objects’ motions.",4-PS3-3,Ask questions and predict outcomes about the changes in energy that occur when objects collide.,"Emphasis is on the change in the energy due to the change in speed, not on the forces, as objects interact.",Assessment does not include quantitative measurements of energy.
