"subject","framework","grade","dimension","dim","subcategory","code","statement","orig_dimension","orig_dim","link","code2","subcat","PEcode","performanceExpectation","clarifyingStatement","assessmentBoundary","goal"
"ELA","Common Core ELA","01","Reading","R",NA,"RI.1.2","Identify the main topic and retell key details of a text.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/1/2/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","01","Reading","R",NA,"RI.1.3","Describe the connection between two individuals, events, ideas, or pieces of information in a text.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/1/3/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","01","Reading","R",NA,"RI.1.4","Ask and answer questions to help determine or clarify the meaning of words and phrases in a text.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/1/4/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","01","Reading","R",NA,"RI.1.5","Know and use various text features (e.g., headings, tables of contents, glossaries, electronic menus, icons) to locate key facts or information in a text.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/1/5/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","01","Reading","R",NA,"RI.1.6","Distinguish between information provided by pictures or other illustrations and information provided by the words in a text.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/1/6/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","01","Reading","R",NA,"RI.1.7","Use the illustrations and details in a text to describe its key ideas.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/1/7/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","01","Reading","R",NA,"RI.1.8","Identify the reasons an author gives to support points in a text.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/1/8/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","01","Reading","R",NA,"RI.1.9","Identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures).","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/1/9/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","01","Reading","R",NA,"RI.1.10","With prompting and support, read informational texts appropriately complex for grade 1.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/1/10/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","02","Reading","R",NA,"RI.2.1","Ask and answer such questions as <i>who, what, where, when, why</i>, and <i>how</i> to demonstrate understanding of key details in a text.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/2/1/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","02","Reading","R",NA,"RI.2.2","Identify the main topic of a multiparagraph text as well as the focus of specific paragraphs within the text.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/2/2/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","02","Reading","R",NA,"RI.2.3","Describe the connection between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/2/3/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","02","Reading","R",NA,"RI.2.4","Determine the meaning of words and phrases in a text relevant to a <i>grade 2 topic or subject area.</i>","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/2/4/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","02","Reading","R",NA,"RI.2.5","Know and use various text features (e.g., captions, bold print, subheadings, glossaries, indexes, electronic menus, icons) to locate key facts or information in a text efficiently.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/2/5/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","02","Reading","R",NA,"RI.2.6","Identify the main purpose of a text, including what the author wants to answer, explain, or describe.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/2/6/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Language, Speaking & Listening","LS&L",NA,"CCRA.L.4","Determine or clarify the meaning of unknown and multiple-meaning words and phrases by using context clues, analyzing meaningful word parts, and consulting general and specialized reference materials, as appropriate.","Language","L","http://corestandards.org/ELA-Literacy/CCRA/L/4/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Language, Speaking & Listening","LS&L",NA,"CCRA.L.5","Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.","Language","L","http://corestandards.org/ELA-Literacy/CCRA/L/5/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Language, Speaking & Listening","LS&L",NA,"CCRA.L.6","Acquire and use accurately a range of general academic and domain-specific words and phrases sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when encountering an unknown term important to comprehension or expression.","Language","L","http://corestandards.org/ELA-Literacy/CCRA/L/6/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Reading","R",NA,"CCRA.R.1","Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.","Reading","R","http://corestandards.org/ELA-Literacy/CCRA/R/1/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Reading","R",NA,"CCRA.R.2","Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.","Reading","R","http://corestandards.org/ELA-Literacy/CCRA/R/2/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","03","Reading","R",NA,"RI.3.1","Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/3/1/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Reading","R",NA,"CCRA.R.4","Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.","Reading","R","http://corestandards.org/ELA-Literacy/CCRA/R/4/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Reading","R",NA,"CCRA.R.5","Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole.","Reading","R","http://corestandards.org/ELA-Literacy/CCRA/R/5/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Reading","R",NA,"CCRA.R.6","Assess how point of view or purpose shapes the content and style of a text.","Reading","R","http://corestandards.org/ELA-Literacy/CCRA/R/6/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Reading","R",NA,"CCRA.R.7","Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.<sup>1</sup>","Reading","R","http://corestandards.org/ELA-Literacy/CCRA/R/7/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Reading","R",NA,"CCRA.R.8","Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence.","Reading","R","http://corestandards.org/ELA-Literacy/CCRA/R/8/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Reading","R",NA,"CCRA.R.9","Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.","Reading","R","http://corestandards.org/ELA-Literacy/CCRA/R/9/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Reading","R",NA,"CCRA.R.10","Read and comprehend complex literary and informational texts independently and proficiently.","Reading","R","http://corestandards.org/ELA-Literacy/CCRA/R/10/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Language, Speaking & Listening","LS&L",NA,"CCRA.SL.1","Prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others' ideas and expressing their own clearly and persuasively.","Speaking & Listening","SL","http://corestandards.org/ELA-Literacy/CCRA/SL/1/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Language, Speaking & Listening","LS&L",NA,"CCRA.SL.2","Integrate and evaluate information presented in diverse media and formats, including visually, quantitatively, and orally.","Speaking & Listening","SL","http://corestandards.org/ELA-Literacy/CCRA/SL/2/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Language, Speaking & Listening","LS&L",NA,"CCRA.SL.3","Evaluate a speaker's point of view, reasoning, and use of evidence and rhetoric.","Speaking & Listening","SL","http://corestandards.org/ELA-Literacy/CCRA/SL/3/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Language, Speaking & Listening","LS&L",NA,"CCRA.SL.4","Present information, findings, and supporting evidence such that listeners can follow the line of reasoning and the organization, development, and style are appropriate to task, purpose, and audience.","Speaking & Listening","SL","http://corestandards.org/ELA-Literacy/CCRA/SL/4/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Language, Speaking & Listening","LS&L",NA,"CCRA.SL.5","Make strategic use of digital media and visual displays of data to express information and enhance understanding of presentations.","Speaking & Listening","SL","http://corestandards.org/ELA-Literacy/CCRA/SL/5/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Language, Speaking & Listening","LS&L",NA,"CCRA.SL.6","Adapt speech to a variety of contexts and communicative tasks, demonstrating command of formal English when indicated or appropriate.","Speaking & Listening","SL","http://corestandards.org/ELA-Literacy/CCRA/SL/6/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Writing","W",NA,"CCRA.W.1","Write arguments to support claims in an analysis of substantive topics or texts using valid reasoning and relevant and sufficient evidence.","Writing","W","http://corestandards.org/ELA-Literacy/CCRA/W/1/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","04","Reading","R",NA,"RI.4.4","Determine the meaning of general academic and domain-specific words or phrases in a text relevant to a <i>grade 4 topic or subject area</i>.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/4/4/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Writing","W",NA,"CCRA.W.3","Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details and well-structured event sequences.","Writing","W","http://corestandards.org/ELA-Literacy/CCRA/W/3/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Writing","W",NA,"CCRA.W.4","Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.","Writing","W","http://corestandards.org/ELA-Literacy/CCRA/W/4/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Writing","W",NA,"CCRA.W.5","Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach.","Writing","W","http://corestandards.org/ELA-Literacy/CCRA/W/5/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Writing","W",NA,"CCRA.W.6","Use technology, including the Internet, to produce and publish writing and to interact and collaborate with others.","Writing","W","http://corestandards.org/ELA-Literacy/CCRA/W/6/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Writing","W",NA,"CCRA.W.7","Conduct short as well as more sustained research projects based on focused questions, demonstrating understanding of the subject under investigation.","Writing","W","http://corestandards.org/ELA-Literacy/CCRA/W/7/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Writing","W",NA,"CCRA.W.8","Gather relevant information from multiple print and digital sources, assess the credibility and accuracy of each source, and integrate the information while avoiding plagiarism.","Writing","W","http://corestandards.org/ELA-Literacy/CCRA/W/8/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K,1,2,3,4,5,6,7,8,9,10,11,12","Writing","W",NA,"CCRA.W.9","Draw evidence from literary or informational texts to support analysis, reflection, and research.","Writing","W","http://corestandards.org/ELA-Literacy/CCRA/W/9/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","05","Reading","R",NA,"RI.5.1","Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/5/1/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K","Language, Speaking & Listening","LS&L",NA,"L.K.1","Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.","Language","L","http://corestandards.org/ELA-Literacy/L/K/1/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","05","Reading","R",NA,"RI.5.3","Explain the relationships or interactions between two or more individuals, events, ideas, or concepts in a historical, scientific, or technical text based on specific information in the text.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/5/3/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K","Language, Speaking & Listening","LS&L",NA,"L.K.1b","Use frequently occurring nouns and verbs.","Language","L","http://corestandards.org/ELA-Literacy/L/K/1/b/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K","Language, Speaking & Listening","LS&L",NA,"L.K.1c","Form regular plural nouns orally by adding /s/ or /es/ (e.g., <em>dog, dogs; wish, wishes</em>).","Language","L","http://corestandards.org/ELA-Literacy/L/K/1/c/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K","Language, Speaking & Listening","LS&L",NA,"L.K.1d","Understand and use question words (interrogatives) (e.g., <em>who, what, where, when, why, how</em>).","Language","L","http://corestandards.org/ELA-Literacy/L/K/1/d/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K","Language, Speaking & Listening","LS&L",NA,"L.K.1e","Use the most frequently occurring prepositions (e.g., <em>to, from, in, out, on, off, for, of, by, with</em>).","Language","L","http://corestandards.org/ELA-Literacy/L/K/1/e/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K","Language, Speaking & Listening","LS&L",NA,"L.K.1f","Produce and expand complete sentences in shared language activities.","Language","L","http://corestandards.org/ELA-Literacy/L/K/1/f/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K","Language, Speaking & Listening","LS&L",NA,"L.K.2","Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.","Language","L","http://corestandards.org/ELA-Literacy/L/K/2/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K","Language, Speaking & Listening","LS&L",NA,"L.K.2a","Capitalize the first word in a sentence and the pronoun <em>I</em>","Language","L","http://corestandards.org/ELA-Literacy/L/K/2/a/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","K","Language, Speaking & Listening","LS&L",NA,"L.K.2b","Recognize and name end punctuation.","Language","L","http://corestandards.org/ELA-Literacy/L/K/2/b/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","06","Reading","R",NA,"RI.6.1","Cite textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/6/1/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","06","Reading","R",NA,"RI.6.2","Determine a central idea of a text and how it is conveyed through particular details; provide a summary of the text distinct from personal opinions or judgments.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/6/2/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","06","Reading","R",NA,"RI.6.3","Analyze in detail how a key individual, event, or idea is introduced, illustrated, and elaborated in a text (e.g., through examples or anecdotes).","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/6/3/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","06","Reading","R",NA,"RI.6.4","Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/6/4/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","06","Reading","R",NA,"RI.6.5","Analyze how a particular sentence, paragraph, chapter, or section fits into the overall structure of a text and contributes to the development of the ideas.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/6/5/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","06","Reading","R",NA,"RI.6.6","Determine an author's point of view or purpose in a text and explain how it is conveyed in the text.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/6/6/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","06","Reading","R",NA,"RI.6.7","Integrate information presented in different media or formats (e.g., visually, quantitatively) as well as in words to develop a coherent understanding of a topic or issue.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/6/7/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","06","Reading","R",NA,"RI.6.8","Trace and evaluate the argument and specific claims in a text, distinguishing claims that are supported by reasons and evidence from claims that are not.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/6/8/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","06","Reading","R",NA,"RI.6.9","Compare and contrast one author's presentation of events with that of another (e.g., a memoir written by and a biography on the same person).","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/6/9/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","06","Reading","R",NA,"RI.6.10","By the end of the year, read and comprehend literary nonfiction in the grades 6-8 text complexity band proficiently, with scaffolding as needed at the high end of the range.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/6/10/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","07","Reading","R",NA,"RI.7.1","Cite several pieces of textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/7/1/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","07","Reading","R",NA,"RI.7.2","Determine two or more central ideas in a text and analyze their development over the course of the text; provide an objective summary of the text.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/7/2/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","07","Reading","R",NA,"RI.7.3","Analyze the interactions between individuals, events, and ideas in a text (e.g., how ideas influence individuals or events, or how individuals influence ideas or events).","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/7/3/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","07","Reading","R",NA,"RI.7.4","Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze the impact of a specific word choice on meaning and tone.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/7/4/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","07","Reading","R",NA,"RI.7.5","Analyze the structure an author uses to organize a text, including how the major sections contribute to the whole and to the development of the ideas.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/7/5/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","07","Reading","R",NA,"RI.7.6","Determine an author's point of view or purpose in a text and analyze how the author distinguishes his or her position from that of others.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/7/6/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","07","Reading","R",NA,"RI.7.7","Compare and contrast a text to an audio, video, or multimedia version of the text, analyzing each medium's portrayal of the subject (e.g., how the delivery of a speech affects the impact of the words).","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/7/7/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","07","Reading","R",NA,"RI.7.8","Trace and evaluate the argument and specific claims in a text, assessing whether the reasoning is sound and the evidence is relevant and sufficient to support the claims.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/7/8/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","07","Reading","R",NA,"RI.7.9","Analyze how two or more authors writing about the same topic shape their presentations of key information by emphasizing different evidence or advancing different interpretations of facts.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/7/9/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","07","Reading","R",NA,"RI.7.10","By the end of the year, read and comprehend literary nonfiction in the grades 6-8 text complexity band proficiently, with scaffolding as needed at the high end of the range.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/7/10/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","08","Reading","R",NA,"RI.8.1","Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences drawn from the text.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/8/1/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","08","Reading","R",NA,"RI.8.2","Determine a central idea of a text and analyze its development over the course of the text, including its relationship to supporting ideas; provide an objective summary of the text.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/8/2/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","08","Reading","R",NA,"RI.8.3","Analyze how a text makes connections among and distinctions between individuals, ideas, or events (e.g., through comparisons, analogies, or categories).","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/8/3/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","08","Reading","R",NA,"RI.8.4","Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze the impact of specific word choices on meaning and tone, including analogies or allusions to other texts.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/8/4/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","08","Reading","R",NA,"RI.8.5","Analyze in detail the structure of a specific paragraph in a text, including the role of particular sentences in developing and refining a key concept.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/8/5/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","08","Reading","R",NA,"RI.8.6","Determine an author's point of view or purpose in a text and analyze how the author acknowledges and responds to conflicting evidence or viewpoints.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/8/6/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","08","Reading","R",NA,"RI.8.7","Evaluate the advantages and disadvantages of using different mediums (e.g., print or digital text, video, multimedia) to present a particular topic or idea.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/8/7/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","08","Reading","R",NA,"RI.8.8","Delineate and evaluate the argument and specific claims in a text, assessing whether the reasoning is sound and the evidence is relevant and sufficient; recognize when irrelevant evidence is introduced.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/8/8/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","08","Reading","R",NA,"RI.8.9","Analyze a case in which two or more texts provide conflicting information on the same topic and identify where the texts disagree on matters of fact or interpretation.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/8/9/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","08","Reading","R",NA,"RI.8.10","By the end of the year, read and comprehend literary nonfiction at the high end of the grades 6-8 text complexity band independently and proficiently.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/8/10/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","9,10","Reading","R",NA,"RI.9-10.1","Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/9-10/1/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","9,10","Reading","R",NA,"RI.9-10.2","Determine a central idea of a text and analyze its development over the course of the text, including how it emerges and is shaped and refined by specific details; provide an objective summary of the text.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/9-10/2/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","9,10","Reading","R",NA,"RI.9-10.3","Analyze how the author unfolds an analysis or series of ideas or events, including the order in which the points are made, how they are introduced and developed, and the connections that are drawn between them.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/9-10/3/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","9,10","Reading","R",NA,"RI.9-10.4","Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze the cumulative impact of specific word choices on meaning and tone (e.g., how the language of a court opinion differs from that of a newspaper).","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/9-10/4/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","9,10","Reading","R",NA,"RI.9-10.5","Analyze in detail how an author's ideas or claims are developed and refined by particular sentences, paragraphs, or larger portions of a text (e.g., a section or chapter).","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/9-10/5/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","9,10","Reading","R",NA,"RI.9-10.6","Determine an author's point of view or purpose in a text and analyze how an author uses rhetoric to advance that point of view or purpose.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/9-10/6/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","9,10","Reading","R",NA,"RI.9-10.7","Analyze various accounts of a subject told in different mediums (e.g., a person's life story in both print and multimedia), determining which details are emphasized in each account.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/9-10/7/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","9,10","Reading","R",NA,"RI.9-10.8","Delineate and evaluate the argument and specific claims in a text, assessing whether the reasoning is valid and the evidence is relevant and sufficient; identify false statements and fallacious reasoning.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/9-10/8/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","9,10","Reading","R",NA,"RI.9-10.9","Analyze seminal U.S. documents of historical and literary significance  (e.g., Washington's Farewell Address, the Gettysburg Address, Roosevelt's Four Freedoms speech, King's ""Letter from Birmingham Jail""), including how they address related themes and concepts.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/9-10/9/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","9,10","Reading","R",NA,"RI.9-10.10","By the end of grade 9, read and comprehend literary nonfiction in the grades 9-10 text complexity band proficiently, with scaffolding as needed at the high end of the range.

By the end of grade 10, read and comprehend literary nonfiction at the high end of the grades 9-10 text complexity band independently and proficiently.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/9-10/10/",NA,NA,NA,NA,NA,NA,NA
"ELA","Common Core ELA","11,12","Reading","R",NA,"RI.11-12.1","Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text, including determining where the text leaves matters uncertain.","Reading: Informational Text","RI","http://corestandards.org/ELA-Literacy/RI/11-12/1/",NA,NA,NA,NA,NA,NA,NA
